Source,Translation
NOM,NAME
SURNOM,NICKNAME
Race,
Humain,Human
Elfe,Elve
Nain,Dwarf
Sorceleur,Witcher
Halfelin,Halflin
Gnome,
Vampire,
Profession,
Artisan,Craftman
Barde,Bard
Criminel,Criminal
Docteur,Doctor
Homme d'armes,Man At Arms
Mage,
Marchand,Merchant
Prêtre,Priest
Noble,
Paysan,Peasant
Fanatique,Fanatic
Hors-la-loi,Outlaw
Nomade,Nomad
Terre d'Origine,Homeland
Rédanie,Redania
Kaedwen,
Témérie,Temeria
Aedirn,
Lyrie et Rivie,Lyria & Rivia
Kovir et Poviss,Kovir & Poviss
Skellige,
Cidaris,
Verden,
Cintra,
Cœur de l'Empire,The Heart of Nilfgaard
Vicovaro,
Angren,
Nazair,
Metinna,Mettina
Mag Turga,
Geso,Gheso
Ebbing,
Maecht,
Gemmery,Gemmeria
Étolie,Etolia
Dol Blathanna,
Mahakam,
Âge,Year old
<u>jet rapide</u>,<u>quick roll</u>
:dragon: Initiative,
:skull: sauvegarde,:skull: Stun
Combat,
Arbalète,Crossbow
Archerie,Archery
Athlétisme,Athletics
Bagarre,Brawling
Bâton/Lance,Staff/Spear
Escrime,Swordsmanship
Esquive/Évasion,Dodge/Escape
Lames courtes,Small Blades
Mêlée,Melee
Tactique,Tactics
Magie,Magic
Envoûtement,Hex Weaving
Incantation,Spell Casting
Résistance à la magie,Resist Magic
Rituels,Ritual Crafting
Indice,
Analyse de preuve,
Analyse de transactions,
Décryptage,
Examen d'une scène,
Examen d'un cadavre,
Filature,
Interrogatoire,
Investigation mystique,
Pistage,
Recherches,
Rumeurs,
Santé,HP
Max,
Ce rempli automatiquement,Auto-filled
Endurance,Stamina
Concentration,
Couronnes,crowns
Couronnes (banque),crowns (bank)
Points de Progression,Improvement Points
Chance (actuelle),Luck (ATM)
Statut social,Social status
"Réputation, titre...","Reputation, title ..."
Profil,Profile
Carac & Compt,Statistics & Skills
Inventaire,Inventaire
Notes,
Guide,
Histoire,History
Description,
bonus/malus,
carac,
od,
":angle-double-right: Attention :angle-double-left:
Le calcul Final des caractéristiques ne se fait pas toujours automatiquement (augmenter/diminuer la valeur pour corriger cela).",":angle-double-right: Warning :angle-double-left:
Final calculation of Statistics is not always done automatically (increase / decrease the value to correct this)."
Caractéristiques primaires,Statistics
Caractéristiques,Derived Statistics 
Base,
Mod,
Final,
Intelligence,
calculé automatiquement,calculated automatically
Réflexes,Reflexes
Dextérité,Dexterity
Corps,Body
Vitesse,Speed
Empathie,Empathy
Technique,Craft
Volonté,Will
Chance,Luck
Vigueur,Vigor
Caractéristiques secondaires,
Étourdissement,Stun
Course,Run
Saut,Leap
Points de santé,Health Points
Encombrement,Encumbrance
Récupération,Recovery
Poings,Punch
Pieds,Kick
Compétences,Skills
<u>Intelligence:</u>,
Con. de la rue,Streetwise
Con. monstres,Monster Lore
Déduction,Deduction
Éducation,Education
Enseignement,Teaching
Étiquette,Social Etiquette
Langue ancienne,Ancient lang
Lang. commune,Common lang
Langue naine,Dwarf lang
Négoce,Business
Survie,Wilderness Survival
Vigilance,Awareness
<u>Réflexes:</u>,<u>Reflex:</u>
Équitation,Riding
Navigation,Sailing
<u>Dextérité:</u>,<u>Dexterity:</u>
Adresse,Sleight of Hand
Furtivité,Stealth
<u>Corps:</u>,<u>body:</u>
Physique,
Résilience,Endurance
<u>Empathie:</u>,<u>Empathy:</u>
Beaux-arts,Fine ArtsGambling
Charisme,Charisma
Commandement,Leadership
Duperie,Deceit
Jeu,Gambling
Persuasion,
Psychologie,Human Perception
Représentation,Performance
Séduction,Seduction
Stylisme,Grooming and Style
<u>Technique:</u>,<u>Craft:</u>
Alchimie,Alchemy
Artisanat,Crafting
Contrefaçon,Forgery
Crochetage,Pick Lock
Déguisement,Disguise
Fab. pièges,Trap Crafting
Premiers soins,First Aid
<u>Volonté:</u>,<u>Will:</u>
Courage,
Intimidation,Intimidation
Rés. contrainte,Resist Coercion
Rés. magie,Resist Magic
Compétences exclusives,
Caract,Statistic
Modificateurs actifs,Active modifiers
état,condition
Race:,
Origine,Origin
VE:,EV:
ENC:,
Blessure critique,Critical injury
Nom,Name
État,Condition
Nouveau modificateur,New modifier
Type,
PA - Tête,SP - Head
PA - Torse,SP - Torso
PA - Jambes,SP - Leg
<u>notes</u>,
Ecrivez vos notes ici !,Write your notes here!
"VE: ","EV: "
Armes,Weapons
PRÉ,WA
DÉG,DMG
Fia,Rel
A mettre en format 1/1,Put in 1/1 format
Mains,Hands
POR,RNG
Effet,Effect
Diss,Conc
AM,EN
Poids,Weight
Armures,Armors
PA,SP
AA,AE
VE,EV
Quantité,Quantity
Composants,Components
schémas,diagram
SD,DC
Durée,Duration
Focus,
sorts,spells
Coût,Cost
Portée,Range
"invocations ",
"signes ","Signs "
rituels,rituals
Temps,Time
"envoûtements ","Hexes "
Prérequis pour la lever,Requirement To Lift
Épée,Sword
Lame courte,Small Blade
Hache,Axe
Arme contondante,Bludgeon
Arme d'hast,Pole Arm
Bâton,Stave
Arme de jet,Thrown Weapon
Arc,Bow
Mains nues,Bare hands
Focus:,
Valeur du focus,Focus value
Tête,Head
"Tête, Torse","Head, Torso"
"Tête, Torse, Jambes","Head, Torso, Legs"
Torse,Torso
"Torse, Jambes","Torso, Legs"
Jambes,Legs
Aucune,Any
Mâchoire fêlée,Cracked Jaw
Cicatrice défigurante,Disfiguring Scar
Côtes fêlées,Cracked Ribs
Corps étranger,Foreign Object
Entorse du bras,Sprained Arm
Entorse de la jambe/cheville,Sprained Leg
Blessure mineure à la tête,Minor Head Wound
Dents perdues,Lost Teeth
Rupture de la rate,Ruptured Spleen
Côtes brisées,Broken Ribs
Bras fracturé,Fractured Arm
Jambe fracturée,Fractured Leg
Fracture du crâne,Skull Fracture
Commotion,Concussion
Perforation de l’estomac,Torn Stomach
Plaie aspirante au thorax,Sucking Chest Wound
Fracture ouverte du bras,Compound Arm Fracture
Fracture ouverte de la jambe,Compound Leg Fracture
Fracture de la nuque/décapitation,Separated Spine/Decapitated
Œil endommagé,Damaged Eye
Cœur endommagé,Heart Damage
Choc septique,Septic Shock
Bras arraché,Dismembered Arm
Jambe arrachée,Dismembered Leg
Critique,Critical
Stabilisé,Stabilized
Traité,Treated
Connaissance de la rue,Streetwise
Connaissance des monstres,Monster Lore
Langue commune,Common language
Fabrication de pièges,Trap Crafting
Résistance à la contrainte,Resist Coercion
initiative,
Cliquez pour lancer l'initiative !,Click to roll initiative!
Attaque,Attack
Corps à corps,Body to body
Arme,Weapon
Taille de la cible,Target size
Moyenne,Medium
Grande,Large
Énorme,Huge
Petite,Small
Cible,Target
Normal,
Immobilisée,Pinned
Esquive active,Active dodge
Mouvante,Moving
Luminosité,Light Levels
Lumière du jour,Daylight
Ténèbres,Darkness
Brillante,Bright Light
Modificateur,Modifier
à distance,From a far
Courte,Close
A bout portant,Point Blank
Intermédiaire,Medium
Longue,Long
Extrême,Extreme
Calcul,Calculation
Jet d'attaque,Attack roll
Localisation,Location
Bras / Membre,Arm / Limb
Jambe / Spécial,Leg / Special
Jet de défense,Defense roll
Résultat,Résultat
Dommages,Dommages
Dégâts,Damage
ou,or
A cocher si c'est une attaque au corps à corps,
CàC,BtoB
Frappe puissante,Strong Strikes
A cocher si la cible est un monstre,Check if the target is a monster
Monstre,Monster
Aucun,None
Simple,
Complexe,Complex
Difficile,Difficult
Mortel,Deadly
R/V,
Résistance / Vulnérabilité,Resistance / Vulnerability
Vulnérabilité,Vulnerability
Résistance,Resistance
Pouvoir d'Arrêt,Shield Power
Dommages - complet,Damage - all location
<u>Pourvoir d'arrêt</u>,<u>Shield Power</u>
Membre G,
Membre D,
Jambe G,L Leg
" Jambe D","R Leg"
Modificateur:,Modifier
Visibilité du jet:,Roll visibility:
Visible,
MJ,GM
Uniquement le MJ,GM only
<h5><u>Explication du fonctionnement de la fiche:</u></h5>,<h5><u>Explanation of how the sheet works:</u></h5>
